approach,time_seconds,chunk_size,processes
vectorized,0.8083280582002772,,
parallel,2.457024466599978,8.0,2.0
parallel,0.9065806665999844,16.0,2.0
parallel,0.5170277999997779,32.0,2.0
parallel,0.4180046749999747,64.0,2.0
parallel,0.3921336500003235,128.0,2.0
parallel,0.4159574581997731,256.0,2.0
parallel,0.4939159583998844,512.0,2.0
parallel,0.9116252250001708,1024.0,2.0
parallel,1.7114828665999084,8.0,3.0
parallel,0.6591023834000225,16.0,3.0
parallel,0.3892841831999248,32.0,3.0
parallel,0.319541508399925,64.0,3.0
parallel,0.3041419500001211,128.0,3.0
parallel,0.3330685250002716,256.0,3.0
parallel,0.4958522915996582,512.0,3.0
parallel,0.896542966799825,1024.0,3.0
parallel,1.3910182584000723,8.0,4.0
parallel,0.568978483400133,16.0,4.0
parallel,0.357923541800119,32.0,4.0
parallel,0.2979058583998267,64.0,4.0
parallel,0.2877793668001686,128.0,4.0
parallel,0.3114718081997125,256.0,4.0
parallel,0.3738431916000991,512.0,4.0
parallel,0.9055346249999274,1024.0,4.0
