approach,scale,time_seconds
naive,256,0.1368254169992724
naive,256,0.1372419170002103
naive,256,0.1367412499994316
naive,256,0.1370424169999751
naive,256,0.1365194580002935
naive,256,0.1370406250007363
naive,256,0.1359612500000366
naive,256,0.1370526250002512
naive,256,0.1368047079995449
naive,256,0.1356902090001313
vectorized,256,0.0421831249996103
vectorized,256,0.0423516250002649
vectorized,256,0.0424298749994704
vectorized,256,0.0423349170005167
vectorized,256,0.0422076660006496
vectorized,256,0.0399150829998689
vectorized,256,0.0425396669998008
vectorized,256,0.0414194590002807
vectorized,256,0.042094666999219
vectorized,256,0.0421052909996433
naive,512,0.5413747919992602
naive,512,0.5417620829994121
naive,512,0.5422949999992852
naive,512,0.5415865830000257
naive,512,0.5416762079994442
naive,512,0.5425894999998491
naive,512,0.5415237080005681
naive,512,0.5420287920005649
naive,512,0.5409858330003772
naive,512,0.5424793749998571
vectorized,512,0.1743679579994932
vectorized,512,0.1755524160007553
vectorized,512,0.1756177500001285
vectorized,512,0.175043999999616
vectorized,512,0.177994249999756
vectorized,512,0.1825158330002523
vectorized,512,0.175711500000034
vectorized,512,0.1765393329997096
vectorized,512,0.176042291000158
vectorized,512,0.1746764580002491
naive,1024,2.324466791999839
naive,1024,2.2069838749994233
naive,1024,2.1508887919999324
naive,1024,2.1493197499994494
naive,1024,2.1470278750002763
naive,1024,2.1534636659998796
naive,1024,2.148127375000513
naive,1024,2.153098499999942
naive,1024,2.146538708000662
naive,1024,2.150297541999862
vectorized,1024,0.7742172500002198
vectorized,1024,0.7711310409995349
vectorized,1024,0.7701615420000962
vectorized,1024,0.8017550839995238
vectorized,1024,0.7681005829999776
vectorized,1024,0.774483125000188
vectorized,1024,0.779136708999431
vectorized,1024,0.7723936670008698
vectorized,1024,0.7777384159999201
vectorized,1024,0.897736709000128
naive,2048,8.652028667000195
naive,2048,8.715036874999896
naive,2048,8.581980959000248
naive,2048,8.61155937500007
naive,2048,8.624694249999266
naive,2048,8.587321250000059
naive,2048,8.622089791999315
naive,2048,8.583542542000032
naive,2048,8.642485833999672
naive,2048,8.822568583000248
vectorized,2048,3.218001125000228
vectorized,2048,3.211121166999874
vectorized,2048,3.1953997919999892
vectorized,2048,3.191844416999629
vectorized,2048,3.2503397090004
vectorized,2048,3.227290666999579
vectorized,2048,3.258926459000577
vectorized,2048,3.2006657499996436
vectorized,2048,3.486127375000251
vectorized,2048,3.320162375000109
